Asignaturas,ECTS,"AF1
Seminario","AF2
Taller práctico","AF3
Taller grupal","AF4
Seguimiento proyectos","AF5
Pruebas de evaluación",AF6 PEXT,TOTAL AF EN CLASE,"AF7
Trabajo autónomo",AF8-TFG
Fundamentos de Matemáticas,3,30,,,,1,,30,59,
Análisis I,6,45,,15,,4,,60,116,
Álgebra Lineal,9,60,30,,,6,,90,174,
Matemática Discreta,6,45,15,,,4,,60,116,
Programación,6,30,30,,,4,,60,116,
Análisis II,6,45,,15,,4,,60,116,
Probabilidad y Estadística,6,45,15,,,4,,60,116,
Algoritmos y Estructuras de Datos,9,45,45,,,6,,90,174,
Claves de Historia Contemporánea,6,60,,,,4,,60,116,
Proyecto I ,3,10,,,20,,,30,60,
Análisis III,6,45,,15,,4,,60,116,
Ecuaciones Diferenciales y en Diferencias,6,45,15,,,4,,60,116,
Bases de Datos,6,30,30,,,4,,60,116,
Estadística Inferencial,6,45,15,,,4,,60,116,
Fundamentos Económicos,6,60,,,,4,,60,116,
Geometría Diferencial,3,30,,,,2,,30,58,
Métodos Numéricos I,6,30,30,,,4,,60,116,
Electrónica Digital y Arquitectura de Ordenadores,6,45,15,,,4,,60,116,
Ecuaciones en Derivadas Parciales,6,45,15,,,4,,60,116,
Análisis de Datos,6,30,30,,,4,,60,116,
Proyecto II,3,10,,,20,,,30,60,
Sistemas Operativos y Redes de Ordenadores,6,45,15,,,4,,60,116,
Optimización,6,45,15,,,4,,60,116,
Métodos Numéricos II,6,30,30,,,4,,60,116,
Hombre y Mundo Moderno,6,55,,5,,4,,60,116,
Sistemas Dinámicos,3,20,,10,,2,,30,58,
Análisis Funcional,3,20,,10,,2,,30,58,
Topología,3,20,,10,,2,,30,58,
Variable Compleja y Análisis de Fourier,6,20,10,,,2,,30,148,
Aprendizaje Automático,6,30,30,,,4,,60,116,
Computación en paralelo,6,30,30,,,4,,60,116,
Cálculo Estocástico,6,45,15,,,4,,60,116,
Matemática Financiera I,6,30,30,,,4,,60,116,
Matemáticas Actuariales,6,30,30,,,4,,60,116,
Lógica Formal,6,45,15,,,4,,60,116,
Teoría de la Computación,6,45,15,,,4,,60,116,
Fundamentos de la Inteligencia Artificial,6,30,30,,,4,,60,116,
Matemática Financiera II,6,30,30,,,4,,60,116,
Minería de Datos y Big Data,6,30,30,,,4,,60,116,
Modelos de Riesgo Cuantitativo,6,45,15,,,4,,60,116,
Teoría y optimización de carteras,6,45,15,,,4,,60,116,
Series Temporales,6,45,15,,,4,,60,116,
Programación Lógica,6,30,30,,,4,,60,116,
Programación Funcional,6,30,30,,,4,,60,116,
Percepción Computacional,6,30,30,,,4,,60,116,
Procesamiento de Lenguaje Natural,6,30,30,,,4,,60,116,
Administración de sistemas,6,30,30,,,4,,60,116,
Doctrina Social de la Iglesia,6,54,,6,,4,,60,116,
Prácticas externas,12,,,,,,252,0,108,
Trabajo Fin de Grado,9,,,,,1,,0,262,7
Computación Cuántica,3,15,15,,,2,,30,58,
Aprendizaje profundo,3,15,15,,,2,,30,58,
Procesos Estocásticos,3,15,15,,,2,,30,58,
Criptografía y Blockchain,3,15,15,,,2,,30,58,
Teoría de la señal,3,15,15,,,2,,30,58,
Ingeniería del Software,3,15,15,,,2,,30,58,
Grandes libros,3,30,,,,2,,30,58,
Ética y Deontología,3,26,,4,,2,,30,58,
