Código,Asignatura,CB01,CB02,CB03,CB04,CB05,CG01,CG02,CE01,CE02,CE03,CE04,CE05,CE06,CE07,CE08,CE09,CE10,CE11,CE12,CE13,CE14,CE15,CE16,CE17,CE18,CE19,CMAC01,CMAC02,CMAC03,CMAC04,CMIA01,CMIA02,CMIA03,CMIA04,CT01,CT02,CT03,CT04,CT05,CT06,COP01,COP02,COP03,COP04,COP05,COP06,COP07,COP08,COP09,COP10,COP11,COP12,COP13,COP14
19968,Fundamentos de Matemáticas,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19967,Análisis I,X,X,X,X,X,X,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,,,
19964,Álgebra Lineal,X,X,X,X,X,X,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19965,Matemática Discreta,X,X,X,X,X,X,,,X,X,X,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19966,Programación,X,X,,,X,,,,,,,,,,,,,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19970,Análisis II,X,X,X,X,X,X,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19971,Probabilidad y Estadística,X,X,X,X,X,X,,,X,X,,,X,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19969,Algoritmos y Estructuras de Datos,X,X,X,X,X,,,,,X,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19972,Claves de Historia Contemporánea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,
19973,Proyecto I ,X,X,X,X,X,,X,X,X,X,,X,,,,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
