Código,Asignatura,Materia,Contenidos
19968,Fundamentos de Matemáticas,Fundamentos Matemáticos,"Principales áreas de las Matematicas. Introducción a la teoría de conjuntos. Introducción a la Lógica Matemática. Tipos de proposiciones Matemáticas (definiciones, proposiciones, lemas, teoremas, corolarios, etc). Técnicas de demostración (inducción, reducción al absurdo, contraejemplos). Introducción a LaTeX."
19967,Análisis I,Análisis Matemático,El cuerpo de los números reales. Sucesiones numéricas. Topología en la recta real. Límites y continuidad. Derivabilidad en una variable. Fórmulas de Taylor. Problemas de extremos.
19964,Álgebra Lineal,Álgebra y Lógica Matemática,Vectores. Espacios vectoriales. Matrices. Sistemas de ecuaciones lineales. Aplicaciones lineales. Endomorfismos. Valores y vectores propios. Diagonalización de matrices. Formas bilineales. Formas cuadráticas. Productos escalares. Bases ortogonales. Proyecciones. Matrices simétricas y ortogonales. Espacios euclídeos. Espacio afín y aplicaciones afines.
19965,Matemática Discreta,Álgebra y Lógica Matemática,Teoría de conjuntos. Teoría de números y aritmética modular. Combinatoria. Principios de inducción y recursion. Recurrencias y ecuaciones en diferencias finitas. Teoría de relaciones y grafos.
19966,Programación,Algoritmos y Datos,Algoritmos y programas. Paradigmas de programación. Programación estructurada y procedimiental. Variables y tipos de datos simples y compuestos. Condicionales y bucles. Funciones. Ficheros.
19970,Análisis II,Análisis Matemático,Integral de Riemann en una variable. Teorema fundamental del cálculo. Integrales impropias. Aplicaciones de la integral. Integral de Lebesgue. Series numéricas.
19971,Probabilidad y Estadística,Estadística,Estadística descriptiva de una y dos variables. Regresión. Probabilidad. Variables aleatorias y modelos probabilísticos. Distribuciones Gamma y Beta. Estimación de parámetros. Introducción a la Estadística Bayesiana.
19969,Algoritmos y Estructuras de Datos,Algoritmos y Datos,"Tipos abstractos de datos: pilas, colas, listas enlazadas, árboles, tablas hash. Programación orientada a objetos. Complejidad algorítmica. Técnicas algorítmicas: Divide y venceras, programación dinámica, algoritmos voraces, algoritmos con vuelta atrás, algoritmos con ramificación y poda, algoritmos probabilistas."
19972,Claves de Historia Contemporánea,Humanidades,"Esta asignatura está planteada en torno a temáticas de nuestro tiempo, como los derechos humanos, el choque de civilizaciones, la violencia política y religiosa, el totalitarismo o el poder social de la ciencia, pero no pretende en ningún caso ser una Historia Universal Contemporánea en sentido estricto. El eje básico cronológico en torno al cual gira es el siglo XX, pero todo ello está enfocado a una plena comprensión de las dinámicas históricas y culturales que conforman el tiempo presente indagando en las raíces de nuestra civilización en el mundo antiguo, medieval y moderno"
19973,Proyecto I ,Proyectos,Gestión y desarrollo de un proyecto para la resolución de un problema del ámbito de la ingeniería y las ciencias que integre los conicimientos adquiridos en primer curso. Leguaje de procesamiento de texto LaTeX. Sistema de control de versiones Git. Metodologías de gestión y planificación de proyectos de ingeniería.
